"id","nome","source_folder","tags_secundarias","quantidade_secundarias","status"
"media_1bcfe6d58d2a42e3031e","Abdominal oblíquo no chão","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal oblíquo no chão","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_4bf0f198cbc3fdac28da","Abdominal reverso","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal reverso","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_0e463aeb4158497e2760","Abdominal sapo com bola suíça","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sapo com bola suíça","Bola | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_cde3619970c8c5aa12cd","Abdominal sentado no banco com joelhos ao peito","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sentado no banco com joelhos ao peito","Banco | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_90048a1103f0a4684dc6","Abdominal tradicional","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal tradicional","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_be0a52168e8a76f693c9","Abdominal um quarto","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal um quarto","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_5e580b9122697884ca0b","Abdominal V-up com bola suíça","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal V-up com bola suíça","Bola | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_77369d3e940283d271f4","Abdominal V-up com halteres","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal V-up com halteres","Halteres | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_31024f8c4102dcbeb163","Abdução de quadril deitado com elástico","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril deitado com elástico","Elástico | Quadril | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_64712606087f7ed7e202","Abdução de quadril deitado com elástico - variação 2","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril deitado com elástico - variação 2","Elástico | Quadril | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_93e74d3d0efd58646aee","Abdução de quadril em concha","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em concha","Quadril | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_708ff7631e6dc8a55607","Abdução de quadril em concha com elástico","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em concha com elástico","Elástico | Quadril | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_3c4b654f94e7660ab52b","Abdução de quadril em pé","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé","Quadril | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_b262a3787323c079228f","Abdução de quadril em pé na máquina","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril em pé na máquina","Máquina | Quadril | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_447a9f38e00f1ea93d14","Abdução de quadril na máquina","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril na máquina","Máquina | Quadril | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_12ac4d5b2a0e64e06f1e","Abdução de quadril por cabo","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril por cabo","Polia/Cabo | Quadril | Academia","3","COM_SECUNDARIAS_NO_TXT"
