"id","source_folder","campo","valor_antes","valor_source","valor_depois","status"
"media_447a9f38e00f1ea93d14","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril na máquina","tags_secundarias","Academia","Máquina | Quadril | Academia","Quadril | Máquina | Academia","CORRIGIDO"
"media_447a9f38e00f1ea93d14","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril na máquina","tags_compatibilidade","Glúteos","Glúteos | Máquina | Quadril | Academia","Glúteos | Máquina | Quadril | Academia","CORRIGIDO"
"media_12ac4d5b2a0e64e06f1e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril por cabo","tags_secundarias","Academia","Polia/Cabo | Quadril | Academia","Quadril | Polia/Cabo | Academia","CORRIGIDO"
"media_12ac4d5b2a0e64e06f1e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril por cabo","tags_compatibilidade","Glúteos","Glúteos | Polia/Cabo | Quadril | Academia","Glúteos | Polia/Cabo | Quadril | Academia","CORRIGIDO"
"media_a22936611fd69af56158","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril sentado com elástico","tags_secundarias","Banco | Casa | Academia","Elástico | Quadril | Academia","Quadril | Elástico | Academia","CORRIGIDO"
"media_a22936611fd69af56158","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril sentado com elástico","tags_compatibilidade","Glúteos","Glúteos | Elástico | Quadril | Academia","Glúteos | Elástico | Quadril | Academia","CORRIGIDO"
"media_877fec69edcc64c77919","C:\Users\bruno\Downloads\Exercicios renomeados\Abertura de ombros com elástico","tags_secundarias","Casa | Academia","Elástico | Academia","Elástico | Academia","CORRIGIDO"
"media_877fec69edcc64c77919","C:\Users\bruno\Downloads\Exercicios renomeados\Abertura de ombros com elástico","tags_compatibilidade","Ombros","Ombros | Elástico | Academia","Ombros | Elástico | Academia","CORRIGIDO"
"media_9f35291f6339ed5dd6bd","C:\Users\bruno\Downloads\Exercicios renomeados\Abraços de joelho em pé","tags_secundarias","Casa | Academia | Ao ar livre","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_9f35291f6339ed5dd6bd","C:\Users\bruno\Downloads\Exercicios renomeados\Abraços de joelho em pé","tags_compatibilidade","Corpo inteiro","Corpo inteiro | Sem aparelhos | Casa","Corpo inteiro | Sem aparelhos | Casa","CORRIGIDO"
"media_2ef552cd5c5cbf18f018","C:\Users\bruno\Downloads\Exercicios renomeados\Adução de quadril na máquina","tags_secundarias","Academia","Máquina | Academia","Máquina | Academia","CORRIGIDO"
"media_2ef552cd5c5cbf18f018","C:\Users\bruno\Downloads\Exercicios renomeados\Adução de quadril na máquina","tags_compatibilidade","Quadril","Quadril | Máquina | Academia","Quadril | Máquina | Academia","CORRIGIDO"
"media_7cda2e76df3a35c0c190","C:\Users\bruno\Downloads\Exercicios renomeados\Adução de quadril por cabo","tags_secundarias","Academia","Polia/Cabo | Academia","Polia/Cabo | Academia","CORRIGIDO"
"media_7cda2e76df3a35c0c190","C:\Users\bruno\Downloads\Exercicios renomeados\Adução de quadril por cabo","tags_compatibilidade","Quadril","Quadril | Polia/Cabo | Academia","Quadril | Polia/Cabo | Academia","CORRIGIDO"
"media_a3383043964927e80f3b","C:\Users\bruno\Downloads\Exercicios renomeados\Adução do quadril no lado na máquina","tags_secundarias","Academia","Máquina | Academia","Máquina | Academia","CORRIGIDO"
"media_a3383043964927e80f3b","C:\Users\bruno\Downloads\Exercicios renomeados\Adução do quadril no lado na máquina","tags_compatibilidade","Corpo inteiro","Corpo inteiro | Máquina | Academia","Corpo inteiro | Máquina | Academia","CORRIGIDO"
"media_ca835c3df03be9182c98","C:\Users\bruno\Downloads\Exercicios renomeados\Afundo com elástico","tags_secundarias","Casa | Academia","Elástico | Glúteos | Academia","Glúteos | Elástico | Academia","CORRIGIDO"
"media_ca835c3df03be9182c98","C:\Users\bruno\Downloads\Exercicios renomeados\Afundo com elástico","tags_compatibilidade","Quadríceps","Quadríceps | Elástico | Glúteos | Academia","Quadríceps | Elástico | Glúteos | Academia","CORRIGIDO"
"media_6d941a848eb91bc3b607","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento ATG unilateral","tags_secundarias","","Glúteos | Sem aparelhos | Casa","Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_6d941a848eb91bc3b607","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento ATG unilateral","tags_compatibilidade","Quadríceps","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps | Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_0171af930b5923a97fad","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com barra","tags_secundarias","Banco | Academia","Barra | Glúteos | Academia","Glúteos | Barra | Academia","CORRIGIDO"
"media_0171af930b5923a97fad","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com barra","tags_compatibilidade","Quadríceps","Quadríceps | Barra | Glúteos | Academia","Quadríceps | Barra | Glúteos | Academia","CORRIGIDO"
"media_7da8b8027fd4a8bddf1e","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com halteres","tags_secundarias","Halteres | Banco | Academia","Halteres | Glúteos | Academia","Glúteos | Halteres | Academia","CORRIGIDO"
"media_7da8b8027fd4a8bddf1e","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com halteres","tags_compatibilidade","Quadríceps","Quadríceps | Halteres | Glúteos | Academia","Quadríceps | Halteres | Glúteos | Academia","CORRIGIDO"
"media_95d909e4b2fa7f05519b","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com peso corporal","tags_secundarias","Banco | Casa | Academia","Glúteos | Sem aparelhos | Casa","Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_95d909e4b2fa7f05519b","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com peso corporal","tags_compatibilidade","Quadríceps","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps | Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_894cb9ea70d6cc338c49","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com salto","tags_secundarias","Banco | Academia | Casa","Glúteos | Sem aparelhos | Casa","Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_894cb9ea70d6cc338c49","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com salto","tags_compatibilidade","Quadríceps","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps | Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_ca889a128e25892c02f4","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com barra","tags_secundarias","Barra | Anilhas | Academia","Barra | Glúteos | Academia","Glúteos | Barra | Academia","CORRIGIDO"
"media_ca889a128e25892c02f4","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com barra","tags_compatibilidade","Quadríceps","Quadríceps | Barra | Glúteos | Academia","Quadríceps | Barra | Glúteos | Academia","CORRIGIDO"
"media_892279af90fc558ba61e","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com barra acima da cabeça","tags_secundarias","Barra | Academia","Barra | Glúteos | Academia","Glúteos | Barra | Academia","CORRIGIDO"
"media_892279af90fc558ba61e","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com barra acima da cabeça","tags_compatibilidade","Quadríceps","Quadríceps | Barra | Glúteos | Academia","Quadríceps | Barra | Glúteos | Academia","CORRIGIDO"
"media_777e48bfd6407d6d31b9","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com desenvolvimento landmine","tags_secundarias","Barra | Academia","Barra | Tríceps | Academia","Tríceps | Barra | Academia","CORRIGIDO"
"media_777e48bfd6407d6d31b9","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com desenvolvimento landmine","tags_compatibilidade","Ombros","Ombros | Barra | Tríceps | Academia","Ombros | Barra | Tríceps | Academia","CORRIGIDO"
"media_ee37945b37f1c70954a5","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com elevação de panturrilhas","tags_secundarias","Academia | Casa","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_ee37945b37f1c70954a5","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com elevação de panturrilhas","tags_compatibilidade","Panturrilhas","Panturrilhas | Sem aparelhos | Casa","Panturrilhas | Sem aparelhos | Casa","CORRIGIDO"
"media_70496d9ffaae3087b483","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com elástico e barra","tags_secundarias","Barra | Anilhas | Academia | Casa","Elástico | Glúteos | Academia","Glúteos | Elástico | Academia","CORRIGIDO"
"media_70496d9ffaae3087b483","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com elástico e barra","tags_compatibilidade","Quadríceps","Quadríceps | Elástico | Glúteos | Academia","Quadríceps | Elástico | Glúteos | Academia","CORRIGIDO"
"media_2aa40389276b9b58f83f","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com salto","tags_secundarias","Casa | Academia","Glúteos | Sem aparelhos | Casa","Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_2aa40389276b9b58f83f","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com salto","tags_compatibilidade","Quadríceps","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps | Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_5e86e9246ef52954ff49","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com salto com halteres","tags_secundarias","Halteres | Academia","Halteres | Glúteos | Academia","Glúteos | Halteres | Academia","CORRIGIDO"
"media_5e86e9246ef52954ff49","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com salto com halteres","tags_compatibilidade","Quadríceps","Quadríceps | Halteres | Glúteos | Academia","Quadríceps | Halteres | Glúteos | Academia","CORRIGIDO"
"media_c331bce709f4bc3ca5f3","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com salto partindo de joelhos","tags_secundarias","Barra | Anilhas | Academia","Glúteos | Sem aparelhos | Casa","Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_c331bce709f4bc3ca5f3","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com salto partindo de joelhos","tags_compatibilidade","Quadríceps","Quadríceps | Glúteos | Sem aparelhos | Casa","Quadríceps | Glúteos | Sem aparelhos | Casa","CORRIGIDO"
"media_6d2d5f55988dfe0c0214","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento cossaco","tags_secundarias","","Glúteos | Sem aparelhos | Casa","Glúteos | Sem aparelhos | Casa","CORRIGIDO"
